,num_sensors,record_freq,record_bytes,stochasticity,mean_mining_time,std,min,max
207,10,1.0,1,0,1.0033333333333334,0.05764833040850809,1.0,2.0
208,10,0.001,10,0,1.0,0.0,1.0,1.0
209,10,0.01,10,0,1.0,0.0,1.0,1.0
210,10,0.1,10,0,1.0,0.0,1.0,1.0
211,10,1.0,10,0,1.0033333333333334,0.05764833040850809,1.0,2.0
212,10,0.001,100,0,1.0,0.0,1.0,1.0
213,10,0.01,100,0,1.0,0.0,1.0,1.0
214,10,0.1,100,0,1.0048780487804878,0.06972918593228646,1.0,2.0
215,10,1.0,100,0,103.51923076923077,60.070475753156906,2.0,207.0
216,10,0.001,1,0,1.0,0.0,1.0,1.0
217,10,0.01,1,0,1.0,0.0,1.0,1.0
218,10,0.1,1,0,1.0034246575342465,0.05847036288646263,1.0,2.0
219,10,1.0,1,0,1.0033333333333334,0.05764833040850809,1.0,2.0
220,10,0.001,10,0,1.0,0.0,1.0,1.0
221,10,0.01,10,0,1.0,0.0,1.0,1.0
222,10,0.1,10,0,1.0,0.0,1.0,1.0
223,10,1.0,10,0,1.0033333333333334,0.05764833040850809,1.0,2.0
224,10,0.001,100,0,1.0,0.0,1.0,1.0
225,10,0.01,100,0,1.0,0.0,1.0,1.0
226,10,0.1,100,0,1.0017889087656529,0.04229549344378135,1.0,2.0
227,10,1.0,100,0,103.51923076923077,60.070475753156906,2.0,207.0
228,10,0.001,1,0,1.0,0.0,1.0,1.0
229,10,0.01,1,0,1.0,0.0,1.0,1.0
230,10,0.1,1,0,1.0,0.0,1.0,1.0
231,10,1.0,1,0,1.0033333333333334,0.05764833040850809,1.0,2.0
232,10,0.001,10,0,1.0,0.0,1.0,1.0
233,10,0.01,10,0,1.0108695652173914,0.10425720702853734,1.0,2.0
234,10,0.1,10,0,1.0,0.0,1.0,1.0
235,10,1.0,10,0,1.0033333333333334,0.05764833040850809,1.0,2.0
236,10,0.001,100,0,1.0,0.0,1.0,1.0
237,10,0.01,100,0,1.0,0.0,1.0,1.0
238,10,0.1,100,0,1.0033726812816188,0.05802572002878892,1.0,2.0
239,10,1.0,100,0,103.51923076923077,60.070475753156906,2.0,207.0
240,10,0.001,1,0,1.0,0.0,1.0,1.0
241,10,0.01,1,0,1.0,0.0,1.0,1.0
242,10,0.1,1,0,1.001763668430335,0.0419960525565808,1.0,2.0
243,10,1.0,1,0,1.0033333333333334,0.05764833040850809,1.0,2.0
244,10,0.001,10,0,1.0,0.0,1.0,1.0
245,10,0.01,10,0,1.0,0.0,1.0,1.0
246,10,0.1,10,0,1.0016638935108153,0.0407908508224002,1.0,2.0
247,10,1.0,10,0,1.0033333333333334,0.05764833040850809,1.0,2.0
248,10,0.001,100,0,1.0,0.0,1.0,1.0
249,10,0.01,100,0,1.0,0.0,1.0,1.0
250,10,0.1,100,0,1.0072332730560578,0.10400552963783204,1.0,3.0
251,10,1.0,100,0,103.51923076923077,60.070475753156906,2.0,207.0
252,10,0.001,1,0,1.0,0.0,1.0,1.0
253,10,0.01,1,0,1.0,0.0,1.0,1.0
254,10,0.1,1,0,1.001763668430335,0.0419960525565808,1.0,2.0
255,10,1.0,1,0,1.0033333333333334,0.05764833040850809,1.0,2.0
256,10,0.001,10,0,1.0,0.0,1.0,1.0
257,10,0.01,10,0,1.0,0.0,1.0,1.0
258,10,0.1,10,0,1.0016666666666667,0.040824829046386304,1.0,2.0
259,10,1.0,10,0,1.0033333333333334,0.05764833040850809,1.0,2.0
260,10,0.001,100,0,1.0,0.0,1.0,1.0
261,10,0.01,100,0,1.0,0.0,1.0,1.0
262,10,0.1,100,0,1.001628664495114,0.04035671561356309,1.0,2.0
263,10,1.0,100,0,103.51923076923077,60.070475753156906,2.0,207.0
264,10,0.001,1,0,1.0,0.0,1.0,1.0
265,10,0.01,1,0,1.0,0.0,1.0,1.0
266,10,0.1,1,0,1.0,0.0,1.0,1.0
267,10,1.0,1,0,1.0033333333333334,0.05764833040850809,1.0,2.0
268,10,0.001,10,0,1.0,0.0,1.0,1.0
269,10,0.01,10,0,1.0,0.0,1.0,1.0
270,10,0.1,10,0,1.0040733197556009,0.06375740630029116,1.0,2.0
271,10,1.0,10,0,1.0033333333333334,0.05764833040850809,1.0,2.0
272,10,0.001,100,0,1.0,0.0,1.0,1.0
273,10,0.01,100,0,1.0,0.0,1.0,1.0
274,10,0.1,100,0,1.0033726812816188,0.05802572002878892,1.0,2.0
275,10,1.0,100,0,103.51923076923077,60.070475753156906,2.0,207.0
276,10,0.001,1,0,1.0,0.0,1.0,1.0
277,10,0.01,1,0,1.0,0.0,1.0,1.0
278,10,0.1,1,0,1.0017889087656529,0.04229549344378135,1.0,2.0
279,10,1.0,1,0,1.0033333333333334,0.05764833040850809,1.0,2.0
280,10,0.001,10,0,1.0,0.0,1.0,1.0
281,10,0.01,10,0,1.0,0.0,1.0,1.0
282,10,0.1,10,0,1.0018018018018018,0.04244763599780088,1.0,2.0
283,10,1.0,10,0,1.0033333333333334,0.05764833040850809,1.0,2.0
284,10,0.001,100,0,Failed on tick 300,,,
285,10,0.01,100,0,1.0,0.0,1.0,1.0
286,10,0.1,100,0,1.0184331797235022,0.14559586766810262,1.0,3.0
287,10,1.0,100,0,103.51923076923077,60.070475753156906,2.0,207.0
288,10,0.001,1,0,1.0,0.0,1.0,1.0
289,10,0.01,1,0,1.0,0.0,1.0,1.0
290,10,0.1,1,0,1.0034305317324186,0.058520401126432496,1.0,2.0
291,10,1.0,1,0,1.0033333333333334,0.05764833040850809,1.0,2.0
292,10,0.001,10,0,1.0,0.0,1.0,1.0
293,10,0.01,10,0,1.0,0.0,1.0,1.0
294,10,0.1,10,0,1.0018416206261511,0.04291410754228744,1.0,2.0
295,10,1.0,10,0,1.0033333333333334,0.05764833040850809,1.0,2.0
296,10,0.001,100,0,1.0,0.0,1.0,1.0
297,10,0.01,100,0,1.0,0.0,1.0,1.0
298,10,0.1,100,0,1.003683241252302,0.06063370023538931,1.0,2.0
299,10,1.0,100,0,103.51923076923077,60.070475753156906,2.0,207.0
300,10,0.001,1,0,1.0,0.0,1.0,1.0
301,10,0.01,1,0,1.0,0.0,1.0,1.0
302,10,0.1,1,0,1.0,0.0,1.0,1.0
303,10,1.0,1,0,1.0033333333333334,0.05764833040850809,1.0,2.0
304,10,0.001,10,0,1.0,0.0,1.0,1.0
305,10,0.01,10,0,1.0,0.0,1.0,1.0
306,10,0.1,10,0,1.0072859744990892,0.08512395536732838,1.0,2.0
307,10,1.0,10,0,1.0033333333333334,0.05764833040850809,1.0,2.0
308,10,0.001,100,0,1.0,0.0,1.0,1.0
309,10,0.01,100,0,1.0,0.0,1.0,1.0
310,10,0.1,100,0,1.0629800307219661,0.47461371943669883,1.0,7.0
311,10,1.0,100,0,103.51923076923077,60.070475753156906,2.0,207.0
312,10,0.001,1,0,1.0,0.0,1.0,1.0
313,10,0.01,1,0,1.0,0.0,1.0,1.0
314,10,0.1,1,0,1.0,0.0,1.0,1.0
315,10,1.0,1,0,1.0033333333333334,0.05764833040850809,1.0,2.0
316,10,0.001,10,0,1.0,0.0,1.0,1.0
317,10,0.01,10,0,1.0,0.0,1.0,1.0
318,10,0.1,10,0,1.0018484288354899,0.04299335803923476,1.0,2.0
319,10,1.0,10,0,1.0033333333333334,0.05764833040850809,1.0,2.0
320,10,0.001,100,0,1.0,0.0,1.0,1.0
321,10,0.01,100,0,1.0,0.0,1.0,1.0
322,10,0.1,100,0,1.0,0.0,1.0,1.0
323,10,1.0,100,0,103.51923076923077,60.070475753156906,2.0,207.0
324,10,0.001,1,0,1.0,0.0,1.0,1.0
325,10,0.01,1,0,1.0,0.0,1.0,1.0
326,10,0.1,1,0,1.0,0.0,1.0,1.0
327,10,1.0,1,0,1.0033333333333334,0.05764833040850809,1.0,2.0
328,10,0.001,10,0,1.0,0.0,1.0,1.0
329,10,0.01,10,0,1.0,0.0,1.0,1.0
330,10,0.1,10,0,1.0019417475728156,0.04406526492392317,1.0,2.0
331,10,1.0,10,0,1.0033333333333334,0.05764833040850809,1.0,2.0
332,10,0.001,100,0,1.0,0.0,1.0,1.0
333,10,0.01,100,0,1.0,0.0,1.0,1.0
334,10,0.1,100,0,1.02,0.228959792367453,1.0,5.0
335,10,1.0,100,0,103.51923076923077,60.070475753156906,2.0,207.0
336,10,0.001,1,0,1.0,0.0,1.0,1.0
337,10,0.01,1,0,1.0,0.0,1.0,1.0
338,10,0.1,1,0,1.0016949152542374,0.04116934847963091,1.0,2.0
339,10,1.0,1,0,1.0033333333333334,0.05764833040850809,1.0,2.0
340,10,0.001,10,0,1.0,0.0,1.0,1.0
341,10,0.01,10,0,1.0,0.0,1.0,1.0
342,10,0.1,10,0,1.0,0.0,1.0,1.0
343,10,1.0,10,0,1.0033333333333334,0.05764833040850809,1.0,2.0
344,10,0.001,100,0,1.0,0.0,1.0,1.0
345,10,0.01,100,0,1.0,0.0,1.0,1.0
346,10,0.1,100,0,1.0,0.0,1.0,1.0
347,10,1.0,100,0,103.51923076923077,60.070475753156906,2.0,207.0
348,10,0.001,1,0,1.0,0.0,1.0,1.0
349,10,0.01,1,0,1.0,0.0,1.0,1.0
350,10,0.1,1,0,1.00164744645799,0.040588747923409954,1.0,2.0
351,10,1.0,1,0,1.0033333333333334,0.05764833040850809,1.0,2.0
352,10,0.001,10,0,1.0,0.0,1.0,1.0
353,10,0.01,10,0,1.0185185185185186,0.1360827634879543,1.0,2.0
354,10,0.1,10,0,1.0031695721077654,0.05625425353631251,1.0,2.0
355,10,1.0,10,0,1.0033333333333334,0.05764833040850809,1.0,2.0
356,10,0.001,100,0,1.0,0.0,1.0,1.0
357,10,0.01,100,0,1.0,0.0,1.0,1.0
358,10,0.1,100,0,1.0016949152542374,0.04116934847963091,1.0,2.0
359,10,1.0,100,0,103.51923076923077,60.070475753156906,2.0,207.0
360,10,0.001,1,0,1.0,0.0,1.0,1.0
361,10,0.01,1,0,1.0,0.0,1.0,1.0
362,10,0.1,1,0,1.001865671641791,0.04319342127906802,1.0,2.0
363,10,1.0,1,0,1.0033333333333334,0.05764833040850809,1.0,2.0
364,10,0.001,10,0,1.0,0.0,1.0,1.0
365,10,0.01,10,0,1.0,0.0,1.0,1.0
366,10,0.1,10,0,1.0,0.0,1.0,1.0
367,10,1.0,10,0,1.0033333333333334,0.05764833040850809,1.0,2.0
368,10,0.001,100,0,1.0,0.0,1.0,1.0
369,10,0.01,100,0,1.0,0.0,1.0,1.0
370,10,0.1,100,0,1.0055045871559634,0.07405639542392017,1.0,2.0
371,10,1.0,100,0,103.51923076923077,60.070475753156906,2.0,207.0
372,10,0.001,1,0,1.0,0.0,1.0,1.0
373,10,0.01,1,0,1.0,0.0,1.0,1.0
374,10,0.1,1,0,1.0051635111876076,0.07173357635456232,1.0,2.0
375,10,1.0,1,0,1.0033333333333334,0.05764833040850809,1.0,2.0
376,10,0.001,10,0,1.0,0.0,1.0,1.0
377,10,0.01,10,0,1.0,0.0,1.0,1.0
378,10,0.1,10,0,1.0037383177570094,0.06108450836307654,1.0,2.0
